pub_order,cycle,dataset,sequence_index,sequence_kind,payload_index,char_index,char_sent,bit_in_char,bit_sent,circuit_hash,transpile_hash
188,1,PHAN_STRICT_POSTHOC,38,PAYLOAD,34,4,S,6,1,f7f31345a1f8cd81,e21a13b453180fa1
189,1,NULO,19,PAYLOAD,15,0,J,3,0,ac38ecf3e7ea6c8f,717aace61ce4b072
190,0,PHAN_STRICT_POSTHOC,4,PAYLOAD,0,0,J,0,0,f7f31345a1f8cd81,e21a13b453180fa1
191,0,NULO,31,PAYLOAD,27,2,N,5,1,4cfd64574be51110,9cbcacc40de0f619
192,0,REAL,8,PAYLOAD,4,4,S,0,1,1145d10ea689307a,d2c861a98ef8a254
193,1,NULO,38,PAYLOAD,34,4,S,6,1,4cfd64574be51110,fad32430e3bae1d3
194,0,REAL,14,PAYLOAD,10,0,J,2,0,f7f31345a1f8cd81,e21a13b453180fa1
195,0,NULO,34,PAYLOAD,30,0,J,6,1,4cfd64574be51110,9cbcacc40de0f619
196,1,REAL,28,PAYLOAD,24,4,S,4,0,f7f31345a1f8cd81,e21a13b453180fa1
197,0,NULO,7,PAYLOAD,3,3,U,0,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
198,1,PHAN_STRICT_POSTHOC,22,PAYLOAD,18,3,U,3,1,f7f31345a1f8cd81,e21a13b453180fa1
199,1,PHAN_STRICT_POSTHOC,33,PAYLOAD,29,4,S,5,0,f7f31345a1f8cd81,e21a13b453180fa1
200,1,REAL,16,PAYLOAD,12,2,N,2,0,f7f31345a1f8cd81,e21a13b453180fa1
201,0,NULO,20,PAYLOAD,16,1,A,3,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
202,1,NULO,47,PAYLOAD,43,3,U,8,1,4cfd64574be51110,9cbcacc40de0f619
203,0,PHAN_STRICT_POSTHOC,20,PAYLOAD,16,1,A,3,0,f7f31345a1f8cd81,e21a13b453180fa1
204,1,NULO,46,PAYLOAD,42,2,N,8,0,ac38ecf3e7ea6c8f,717aace61ce4b072
205,0,NULO,13,PAYLOAD,9,4,S,1,0,ac38ecf3e7ea6c8f,717aace61ce4b072
206,1,REAL,39,PAYLOAD,35,0,J,7,0,f7f31345a1f8cd81,e21a13b453180fa1
207,0,PHAN_STRICT_POSTHOC,38,PAYLOAD,34,4,S,6,1,f7f31345a1f8cd81,e21a13b453180fa1
208,0,REAL,43,PAYLOAD,39,4,S,7,1,1145d10ea689307a,d2c861a98ef8a254
209,1,NULO,27,PAYLOAD,23,3,U,4,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
210,1,REAL,8,PAYLOAD,4,4,S,0,1,1145d10ea689307a,d2c861a98ef8a254
211,0,REAL,18,PAYLOAD,14,4,S,2,1,1145d10ea689307a,d2c861a98ef8a254
212,1,REAL,18,PAYLOAD,14,4,S,2,1,1145d10ea689307a,d2c861a98ef8a254
213,1,PHAN_STRICT_POSTHOC,23,PAYLOAD,19,4,S,3,1,f7f31345a1f8cd81,e21a13b453180fa1
214,1,REAL,32,PAYLOAD,28,3,U,5,1,1145d10ea689307a,d2c861a98ef8a254
215,0,NULO,19,PAYLOAD,15,0,J,3,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
216,1,REAL,24,PAYLOAD,20,0,J,4,1,1145d10ea689307a,d2c861a98ef8a254
217,0,NULO,4,PAYLOAD,0,0,J,0,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
218,0,NULO,41,PAYLOAD,37,2,N,7,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
219,0,NULO,45,PAYLOAD,41,1,A,8,1,4cfd64574be51110,9cbcacc40de0f619
220,0,REAL,41,PAYLOAD,37,2,N,7,0,f7f31345a1f8cd81,e21a13b453180fa1
221,0,NULO,44,PAYLOAD,40,0,J,8,0,ac38ecf3e7ea6c8f,d3a84e50aea72e10
222,1,NULO,17,PAYLOAD,13,3,U,2,1,4cfd64574be51110,9cbcacc40de0f619
223,1,REAL,15,PAYLOAD,11,1,A,2,0,f7f31345a1f8cd81,e21a13b453180fa1
224,0,PHAN_STRICT_POSTHOC,18,PAYLOAD,14,4,S,2,1,f7f31345a1f8cd81,e21a13b453180fa1
225,1,PHAN_STRICT_POSTHOC,43,PAYLOAD,39,4,S,7,1,f7f31345a1f8cd81,e21a13b453180fa1
